39,,107,60,256,1024,1,1,1,262144,1643520,6574080,1682964480,38
40,block,107,60,1024,256,1,1,1,262144,6574080,1643520,1682964480,39
41,,107,60,256,256,3,3,1,589824,1643520,1643520,3786670080,40
42,,107,60,256,1024,1,1,1,262144,1643520,6574080,1682964480,41
43,block,107,60,1024,256,1,1,1,262144,6574080,1643520,1682964480,42
44,,107,60,256,256,3,3,1,589824,1643520,1643520,3786670080,43
45,,107,60,256,1024,1,1,1,262144,1643520,6574080,1682964480,44
46,block,107,60,1024,256,1,1,1,262144,6574080,1643520,1682964480,45
47,,107,60,256,256,3,3,1,589824,1643520,1643520,3786670080,46
48,,107,60,256,1024,1,1,1,262144,1643520,6574080,1682964480,47
49,block,107,60,1024,256,1,1,1,262144,6574080,1643520,1682964480,48
50,,107,60,256,256,3,3,1,589824,1643520,1643520,3786670080,49
51,,107,60,256,1024,1,1,1,262144,1643520,6574080,1682964480,50
52,block,107,60,1024,256,1,1,1,262144,6574080,1643520,1682964480,51
53,,107,60,256,256,3,3,1,589824,1643520,1643520,3786670080,52
54,,107,60,256,1024,1,1,1,262144,1643520,6574080,1682964480,53
55,block,107,60,1024,256,1,1,1,262144,6574080,1643520,1682964480,54
56,,107,60,256,256,3,3,1,589824,1643520,1643520,3786670080,55
57,,107,60,256,1024,1,1,1,262144,1643520,6574080,1682964480,56
58,block,107,60,1024,256,1,1,1,262144,6574080,1643520,1682964480,57
59,,107,60,256,256,3,3,1,589824,1643520,1643520,3786670080,58
60,,107,60,256,1024,1,1,1,262144,1643520,6574080,1682964480,59
61,block,107,60,1024,256,1,1,1,262144,6574080,1643520,1682964480,60
62,,107,60,256,256,3,3,1,589824,1643520,1643520,3786670080,61
63,,107,60,256,1024,1,1,1,262144,1643520,6574080,1682964480,62
64,block,107,60,1024,256,1,1,1,262144,6574080,1643520,1682964480,63
65,,107,60,256,256,3,3,1,589824,1643520,1643520,3786670080,64
66,,107,60,256,1024,1,1,1,262144,1643520,6574080,1682964480,65
67,block,107,60,1024,256,1,1,1,262144,6574080,1643520,1682964480,66
68,,107,60,256,256,3,3,1,589824,1643520,1643520,3786670080,67
69,,107,60,256,1024,1,1,1,262144,1643520,6574080,1682964480,68
70,block,107,60,1024,256,1,1,1,262144,6574080,1643520,1682964480,69
71,,107,60,256,256,3,3,1,589824,1643520,1643520,3786670080,70
72,,107,60,256,1024,1,1,1,262144,1643520,6574080,1682964480,71
73,block,107,60,1024,256,1,1,1,262144,6574080,1643520,1682964480,72
74,,107,60,256,256,3,3,1,589824,1643520,1643520,3786670080,73
75,,107,60,256,1024,1,1,1,262144,1643520,6574080,1682964480,74
76,block,107,60,1024,256,1,1,1,262144,6574080,1643520,1682964480,75
77,,107,60,256,256,3,3,1,589824,1643520,1643520,3786670080,76
78,,107,60,256,1024,1,1,1,262144,1643520,6574080,1682964480,77
79,block,107,60,1024,256,1,1,1,262144,6574080,1643520,1682964480,78
80,,107,60,256,256,3,3,1,589824,1643520,1643520,3786670080,79
81,,107,60,256,1024,1,1,1,262144,1643520,6574080,1682964480,80
82,block,107,60,1024,256,1,1,1,262144,6574080,1643520,1682964480,81
83,,107,60,256,256,3,3,1,589824,1643520,1643520,3786670080,82
84,,107,60,256,1024,1,1,1,262144,1643520,6574080,1682964480,83
85,block,107,60,1024,256,1,1,1,262144,6574080,1643520,1682964480,84
86,,107,60,256,256,3,3,1,589824,1643520,1643520,3786670080,85
87,,107,60,256,1024,1,1,1,262144,1643520,6574080,1682964480,86
88,block,107,60,1024,256,1,1,1,262144,6574080,1643520,1682964480,87
89,,107,60,256,256,3,3,1,589824,1643520,1643520,3786670080,88
90,,107,60,256,1024,1,1,1,262144,1643520,6574080,1682964480,89
91,block,107,60,1024,256,1,1,1,262144,6574080,1643520,1682964480,90
92,,107,60,256,256,3,3,1,589824,1643520,1643520,3786670080,91
93,,107,60,256,1024,1,1,1,262144,1643520,6574080,1682964480,92
